0.050, 131254.3
0.160, 131254.3
0.300, 131254.3
0.400, 130157.6
0.500, 128196.5
0.600, 127746.3
0.700, 126750.8
0.800, 125897.4
0.900, 125477.4
1.000, 125389.7
1.100, 125352.3
1.200, 125280.7
1.300, 125666.8
1.400, 126292.1
1.500, 126692.8
1.600, 127226.4
1.700, 128252.8
1.800, 128970.0
1.900, 128967.7
2.000, 129019.8
2.100, 129338.5
2.200, 129370.3
2.300, 129414.1
2.400, 129491.1
2.500, 129373.3
2.600, 129704.2
2.700, 129597.6
2.800, 129518.7
2.900, 129554.8
3.000, 129376.1
3.100, 129278.8
3.200, 129011.9
3.300, 128636.0
3.400, 128266.4
3.500, 127820.7
3.600, 127364.0
3.700, 127003.1
3.800, 126600.8
3.900, 125841.5
4.000, 124789.3
4.100, 123855.7
4.200, 122625.2
4.300, 121439.4
4.400, 120165.6
4.500, 118750.5
4.600, 117106.6
4.700, 115144.5
4.800, 113185.6
4.900, 111402.3
5.000, 109066.8
5.100, 106373.9
5.200, 102641.2
5.300, 98100.4
5.400, 91489.1
5.500, 80930.3
5.600, 67902.2
5.700, 55776.5
5.800, 44810.2
5.900, 37323.9
6.000, 32127.6
6.100, 27792.6
6.200, 24135.7
6.300, 21227.1
6.400, 19084.1
6.500, 16989.4
6.600, 14877.1
6.700, 12509.6
6.800, 10272.5
6.900, 8630.1
7.000, 7189.3
7.100, 5390.9
7.200, 4101.4
7.300, 3215.7
7.400, 2530.0
7.500, 1602.5
7.600, 1038.9
7.700, 779.6
7.800, 500.5
7.900, 164.8
8.000, 0.0
